Titolo,Data,RSI,MACD,BUY,SELL
A2A,2026-03-26,55.61357702349873,-0.010940881296062965,0,0
AMPLIFON,2026-03-26,31.41423793597707,-0.9763455984901892,0,0
AVIO,2026-03-26,37.46770025839792,-0.5580736959427739,0,0
AZIMUT,2026-03-26,34.911242603550306,-0.6477910983745332,0,0
BCA_MEDIOLANUM,2026-03-26,51.06382978723403,-0.29824162045933633,0,0
BCA_MPS,2026-03-26,46.694214876033065,-0.3407231958052819,0,0
BCO_BPM,2026-03-26,49.24242424242426,-0.13906694559959654,0,0
BPER_BANCA,2026-03-26,42.483660130718974,-0.21040040868551912,0,0
BRUNELLO CUC,2026-03-26,49.13606911447086,-2.1933889911675237,0,0
BUZZI,2026-03-26,46.744186046511615,-0.9881743181901754,0,0
CAMPARI,2026-03-26,36.117381489841954,-0.04787602124392265,0,0
DIASORIN,2026-03-26,26.530612244897966,-3.0593132118832074,0,0
ENEL,2026-03-26,45.5328798185941,-0.06757902908926461,0,0
ENI,2026-03-26,76.07926397735316,1.2932238222444639,0,0
FERRARI,2026-03-26,42.11309523809521,-6.474799345300539,0,0
FINCANTIERI,2026-03-26,36.683417085427145,-0.638540914946967,0,0
FINECOBANK,2026-03-26,39.652870493992,-0.4091900913749882,0,0
GENERALI,2026-03-26,59.82721382289414,-0.2572046438660607,0,0
HERA,2026-03-26,43.50132625994693,-0.07462355278908994,0,0
INTESA SP,2026-03-26,36.98492462311557,-0.15008708505688073,0,0
INWIT,2026-03-26,33.580246913580254,-0.4443016211654731,0,0
ITALGAS,2026-03-26,38.87399463806972,-0.18627088478049814,0,0
LEONARDO,2026-03-26,31.152993348115317,-0.10349326883257248,0,0
MEDIOBANCA,2026-03-26,53.78973105134474,-0.30017947550738455,0,0
MONCLER,2026-03-26,23.82075471698107,-0.6172550400670929,0,0
POSTE IT,2026-03-26,23.28767123287669,-0.6627945976042717,0,0
PRYSMIAN,2026-03-26,29.00390625000003,-1.359264979944058,0,0
RECORDATI,2026-03-26,58.679706601467,0.07712845783115085,0,0
SAIPEM,2026-03-26,74.80314960629917,0.12375828276600576,0,0
SNAM,2026-03-26,53.12499999999998,0.03442518471532363,0,0
STELLANTIS,2026-03-26,47.76119402985075,-0.25619030573790447,0,0
STMICROELECTRONICS,2026-03-26,41.507373020207545,0.03824870645930645,0,0
TELECOM IT,2026-03-26,47.55332496863236,-0.003662629865497924,0,0
TENARIS,2026-03-26,80.73654390934837,0.994524406755005,0,0
TERNA,2026-03-26,50.924024640657116,-0.03228172354774905,0,0
UNICREDIT,2026-03-26,21.951219512195095,-2.7583867855398694,0,0
UNIPOL,2026-03-26,49.54367666232078,-0.08851316154029121,0,0
