,Score,Annual_Return_%,Volatility_%,Max_DD_%,Sharpe
UNIPOL,1330.0586727083796,25.813149455680716,1.9391738056848802,-54.14696253182976,0.7463517944497464
LEONARDO,1264.5024158930999,30.885194398567208,2.4399480220209795,-65.56023588879528,0.6952652024956738
PRYSMIAN,1235.8396187329297,26.153016619049453,2.114724313630057,-43.541666666666664,0.6924350110973487
BCO_BPM,1129.567122241832,26.965405929698385,2.384804285978336,-57.53257328990228,0.6309815434356733
UNICREDIT,1129.2441240919268,27.439495611095843,2.4274845889964527,-56.16621983914209,0.6295646537255881
FERRARI,993.0559004174979,17.502928833501752,1.760975773713945,-43.88194302111088,0.5772958251112399
BCA_MEDIOLANUM,987.5813440921773,18.101856503765923,1.8308655956836561,-56.17409994626544,0.5727611813049799
BPER_BANCA,942.8734585185966,23.917313061368638,2.5330061873407836,-67.6469297031725,0.5335982437582207
GENERALI,902.4055460436914,12.237762311922262,1.3547232106810574,-46.743589743589745,0.5371268486990448
POSTE IT,900.9369157539879,15.229020432799123,1.6886061045961358,-46.62033014769765,0.5290969001690282
AZIMUT,873.7734834589982,17.26204745798221,1.9730495487475912,-55.91264936135146,0.5086896398581646
BUZZI,792.762478797073,16.039119458441874,2.021020942205543,-42.61148324979134,0.46392013051322656
AVIO,782.8717589664321,19.200868148084925,2.449142096436543,-55.5834187089941,0.4520069984404523
INTESA SP,730.3886642558118,13.712817491356777,1.8749375017784657,-49.29902054926061,0.43198879752245073
ITALGAS,723.8977549919463,10.370081808383702,1.4311632604641522,-34.66793722382809,0.43453748386135715
TERNA,665.519116472971,9.191131522579976,1.3797796750104574,-30.562923666371944,0.40166291452006314
TENARIS,591.2208197422075,13.828395412164806,2.3333019119741105,-71.63393849573917,0.349871122377758
BRUNELLO CUC,584.2600047260324,12.8250291191369,2.191594053903324,-46.59073652239938,0.3470308992633902
MEDIOBANCA,562.6285753029996,10.924046166763812,1.9373423832708059,-61.95166438668491,0.33729188377778496
ENEL,560.4134075236622,8.58866875153561,1.5295428309048729,-55.263746088511404,0.3395354994166113
STMICROELECTRONICS,524.8581057931699,13.602697250006068,2.585094316127732,-66.96117274167986,0.310953966181736
FINECOBANK,524.0229617544408,10.695639403714118,2.037630242264747,-44.14210738796932,0.3143151895932946
SNAM,479.65111447136854,6.81035725509791,1.4176322481824353,-37.627450980392155,0.29292548701789184
ENI,424.4210136188797,7.653113103277054,1.7978448614423035,-63.08030112923463,0.2585296151992589
RECORDATI,408.8216412931232,6.869652308954355,1.6771917848145732,-38.54456824512535,0.24967843713080415
MONCLER,378.7911369564423,7.996513709995612,2.1058839491103374,-46.56466512702078,0.23024509072139013
A2A,339.9009370741061,5.652746844453094,1.658070428514475,-51.1133914828117,0.20902466371841255
FINCANTIERI,299.03316940957865,7.573893199248549,2.5215825304435775,-66.4761886238318,0.18248710396927134
HERA,294.9198587098624,4.815241041461493,1.6266518830955812,-55.087404751232626,0.18222470317966855
INWIT,135.08065567083688,2.2412866376288143,1.646960915430261,-50.27755749405234,0.08482583548070312
TELECOM IT,87.58280944503966,2.2745550638930467,2.5557841906629584,-70.67785005135228,0.055464538433586986
DIASORIN,-152.05372955917218,-3.1920228495862957,2.11974875485052,-73.43839541547278,-0.09645906915533015
CAMPARI,-172.9059240734168,-3.21420446565972,1.8723192289301094,-61.81210545859636,-0.10997768081733814
BCA_MPS,-206.3843339395767,-7.428910411233137,3.633464783610965,-96.31534295741491,-0.13390436536393616
STELLANTIS,-249.1715267594472,-6.183565267080837,2.497614081712076,-79.63174369361076,-0.16107810387130936
AMPLIFON,-254.18766658564567,-5.938202121059977,2.3515191013534706,-83.07270811380401,-0.1640847022534474
SAIPEM,-268.9870195194488,-10.933363965749965,4.093671856395307,-95.36908723188931,-0.1782693852686604
